Abalphat d'Ispahan (Perse, 990-)
Omar Khayyam (Perse, 1048-1123)
Oronce Fine (France, 1494-1555)
Oswald Teichmüller (Allemagne, 1913-1943)
Otto Hölder (Allemagne, 1859-1937)
Otto Toeplitz (Allemagne, 1881-1940)
Pafnouti Lvovitch Tchebychev (Russie, 1821-1894)
Paolo Ruffini (Italie, 1765-1822)
Pappus d'Alexandrie (Grèce, IVe siècle)
Paul-André Meyer (France, 1934-2003)
Paul Appell (France, 1855-1930)
Paul Bachmann (Allemagne, 1837-1920)
Paul Cohen (États-Unis, 1934-2007)
Paul Erdős (Hongrie, 1913-1996)
Paul Guldin (Suisse, 1577-1643)
Paul Halmos (Hongrie, 1916-2006)
Paul Painlevé (France, 1863-1933)
Paul Pierre Lévy (France, 1886-1971)
Pavel Samuilovich Urysohn (Russie, 1898-1924)
Pavel Sergeevich Alexandrov (Russie, 1896-1982)
Pelageya Polubarinova-Kochina (Russie, 1899-1999)
Peter Andreas Hansen (Danemark, 1795-1874)
Peter Lax (États-Unis, 1926-)
Peter Ludwig Mejdell Sylow (Norvège, 1832-1918)
Peter Shor (États-Unis, 1959-)
Peter Thullen (Équateur, 1907-1996)
Petrus Apianus (Allemagne, 1495-1552)
Philippe de La Hire (France, 1640-1718)
Philolaos de Crotone (Grèce, -470--390)
Piergiorgio Odifreddi (Italie, 1950-)
Piero della Francesca (Italie, 1416-1492)
Pierre Bouguer (France, 1698-1758)
Pierre Boutroux (France, 1880-1922)
Pierre de Fermat (France, 1601-1665)
Pierre Deligne (Belgique, États-Unis, 1944-)
Pierre Fatou (France, 1878-1929)
Pierre-Frédéric Sarrus (France, 1798-1861)
Pierre-Louis Lions (France, 1956-)
Pierre-Simon de Laplace (France, 1749-1827)
Pierre Varignon (France, 1654-1722)
Pietro Antonio Cataldi (Italie, 1548-1626)
Piotr Novikov (Russie, 1901-1935)
Ptolémée (Égypte, 90-168)
Pythagore de Samos (Grèce, -580--500)
Qin Jiushao (Chine, 1202-1261)
Ramon Llull (Espagne, 1235-1316)
Raphaël Bombelli (Italie, 1526-1572)
Raphaël Salem (Grèce, 1898-1963)
Reinhard Selten (Allemagne, 1930-2016)
René Descartes (France, 1596-1650)
René François Walter de Sluse (Belgique, 1622-1685)
René Thom (France, 1923-2002)
Richard Brauer (Allemagne, 1901-1977)
Richard Ewen Borcherds (Angleterre, 1959-)
Richard Friederich Arens (France, 1919-2000)
Richard Hamming (États-Unis, 1915-1998)
Richard Rado (Angleterre, 1906-1989)
Richard von Mises (Autriche, 1883-1953)
Robert Daniel Carmichael (États-Unis, 1879-1967)
Robert Fano (Italie, 1917-2016)
Robert Langlands (Canada, 1936-)
Robert Recorde (Pays de Galles, 1510-1558)
Robert Simson (Écosse, 1687-1768)
Robert Sorgenfrey (États-Unis, 1915-1996)
Roger Cotes (Angleterre, 1682-1716)
Roger Godement (France, 1921-2016)
Roger Penrose (Angleterre, 1931-)
Rolf Nevanlinna (Finlande, 1895-1980)
Ronald Fisher (Royaume-Uni, 1962-)
Roy Kerr (Nouvelle-Zélande, 1934-)
Ruđer Josip Bošković (Raguse, 1711-1787)
Rudolf Lipschitz (Allemagne, 1832-1903)
Saharon Shelah (Israël, 1945-)
Samuel Dickstein (Pologne, 1851-1939)
Samuel Eilenberg (Pologne, 1913-1998)
Sarvadaman Chowla (Inde, 1907-1995)
Satyendranath Bose (Inde, 1894-1974)
Saunders MacLane (États-Unis, 1909-2005)
Scipione del Ferro (Italie, 1465-1526)
Seki Kowa (Japon, 1642-1708)
Sergeï Natanovitch Bernstein (Ukraine, 1880-1968)
Sergueï Novikov (Russie, 1938-)
Sergueï Sobolev (Russie, 1908-1989)
Sheila Scott Macintyre (Écosse, 1910-1960)
Shigefumi Mori (Japon, 1951-)
Shiing-Shen Chern (Chine, 1911-2004)
Shing-Tung Yau (Chine, États-Unis, 1949-)
Siméon Denis Poisson (France, 1781-1840)
Simon Donaldson (Angleterre, 1957-)
Simon Newcomb (États-Unis, 1835-1909)
Simon Plouffe (Canada, 1956-)
Simon Stevin (Hollande, 1548-1620)
Solomon Golomb (États-Unis, 1930-2016)
Solomon Lefschetz (États-Unis, 1884-1972)
Sophie Germain (France, 1776-1831)
Sophus Lie (Norvège, 1842-1899)
Srinivasa Ramanujan (Inde, 1887-1920)
Stanislaw Lesniewski (Pologne, 1886-1939)
Stanislaw Marcin Ulam (États-Unis, 1909-1984)
Stanislaw Saks (Pologne, 1897-1942)
Stanisław Zaremba (Pologne, 1863-1942)
Stefan Banach (Pologne, 1892-1945)
Stephen Cole Kleene (États-Unis, 1909-1994)
Stephen Smale (États-Unis, 1930-)
Subbayya Sivasankaranarayana Pillai (Inde, 1901-1950)
Sun Zi (Chine, vers l'an 300)
